label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
cat,123,38,228,209,0.jpg,500,375
cat,50,32,250,248,1.jpg,300,281
cat,1,44,462,454,10.jpg,489,500
cat,53,16,331,318,100.jpg,403,500
cat,151,4,140,193,101.jpg,297,200
cat,48,80,47,36,101.jpg,297,200
cat,87,94,72,74,101.jpg,297,200
cat,18,101,51,81,101.jpg,297,200
cat,25,24,295,314,102.jpg,350,343
cat,48,37,378,314,103.jpg,500,387
cat,5,51,235,292,104.jpg,253,400
cat,2,1,213,158,105.jpg,215,175
cat,27,26,364,329,106.jpg,400,375
cat,136,8,363,342,107.jpg,500,350
cat,322,93,134,203,108.jpg,500,332
cat,84,90,214,202,108.jpg,500,332
cat,96,6,325,369,109.jpg,500,375
cat,148,15,222,364,11.jpg,432,410
cat,14,65,330,363,110.jpg,375,500
cat,29,6,248,350,111.jpg,300,356
cat,182,74,135,231,112.jpg,500,375
cat,35,81,345,224,113.jpg,410,308
cat,3,86,178,91,114.jpg,350,262
cat,109,119,206,64,114.jpg,350,262
cat,33,26,149,225,115.jpg,232,270
cat,147,2,179,255,116.jpg,500,375
cat,11,11,371,320,117.jpg,391,357
cat,151,60,349,315,118.jpg,500,375
cat,70,51,316,204,119.jpg,410,308
cat,45,20,187,159,12.jpg,300,225
cat,6,192,460,149,120.jpg,500,375
cat,16,22,223,315,121.jpg,267,410
cat,77,11,247,446,122.jpg,372,500
cat,9,33,292,217,123.jpg,345,273
cat,212,135,187,228,124.jpg,500,375
cat,56,9,438,423,125.jpg,500,480
cat,113,9,181,87,126.jpg,407,306
cat,10,82,268,128,126.jpg,407,306
cat,274,110,129,188,126.jpg,407,306
cat,89,76,271,190,127.jpg,360,270
cat,185,18,240,345,128.jpg,500,375
cat,114,8,225,324,129.jpg,500,337
cat,13,12,487,285,13.jpg,500,315
cat,46,36,311,430,130.jpg,423,500
cat,69,72,429,223,131.jpg,500,375
cat,67,15,404,287,132.jpg,500,336
cat,118,6,365,369,133.jpg,500,375
cat,36,26,273,335,134.jpg,500,375
cat,74,30,400,428,135.jpg,480,458
cat,24,28,476,296,136.jpg,500,372
cat,53,16,323,452,137.jpg,391,500
cat,50,38,165,282,138.jpg,278,320
cat,10,9,461,270,139.jpg,500,303
cat,7,15,276,253,14.jpg,320,268
cat,3,11,236,251,140.jpg,253,265
cat,130,4,152,257,141.jpg,500,375
cat,25,14,338,479,142.jpg,369,499
cat,14,73,327,402,143.jpg,375,500
cat,4,110,479,222,144.jpg,500,375
cat,88,5,232,465,145.jpg,320,479
cat,23,1,45,111,146.jpg,80,120
cat,109,11,197,274,147.jpg,400,300
cat,90,30,157,210,148.jpg,320,240
cat,185,30,271,454,149.jpg,470,500
cat,50,12,343,341,15.jpg,406,353
cat,27,47,385,187,16.jpg,448,259
cat,3,15,443,360,17.jpg,500,375
cat,50,1,395,322,18.jpg,500,375
cat,49,4,99,49,19.jpg,320,224
cat,0,35,32,48,19.jpg,320,224
cat,139,40,49,54,19.jpg,320,224
cat,200,32,60,55,19.jpg,320,224
cat,247,82,53,50,19.jpg,320,224
cat,202,136,68,88,19.jpg,320,224
cat,134,97,60,85,19.jpg,320,224
cat,81,90,57,46,19.jpg,320,224
cat,40,105,53,50,19.jpg,320,224
cat,40,41,58,46,19.jpg,320,224
cat,12,160,69,64,19.jpg,320,224
cat,85,156,79,63,19.jpg,320,224
cat,143,0,41,32,19.jpg,320,224
cat,215,0,62,25,19.jpg,320,224
cat,181,69,46,61,19.jpg,320,224
cat,46,21,233,376,2.jpg,312,397
cat,0,86,403,200,20.jpg,500,375
cat,63,56,347,444,21.jpg,431,500
cat,9,16,480,306,22.jpg,500,346
cat,145,18,96,164,23.jpg,334,257
cat,12,52,410,227,24.jpg,500,375
cat,120,25,170,469,25.jpg,346,500
cat,54,50,182,215,26.jpg,500,375
cat,81,203,185,277,27.jpg,370,480
cat,168,48,139,258,27.jpg,370,480
cat,12,34,264,209,28.jpg,287,270
cat,77,21,382,327,29.jpg,500,375
cat,3,14,480,362,3.jpg,500,415
cat,44,23,239,211,30.jpg,350,262
cat,72,27,415,255,31.jpg,500,375
cat,41,91,422,235,32.jpg,500,375
cat,174,92,200,278,33.jpg,500,375
cat,100,46,161,412,34.jpg,375,500
cat,26,32,447,346,35.jpg,500,426
cat,51,52,449,179,36.jpg,500,312
cat,14,11,317,290,37.jpg,500,337
cat,13,11,327,327,38.jpg,350,338
cat,125,8,243,492,39.jpg,375,500
cat,88,27,398,348,4.jpg,500,375
cat,38,6,462,377,40.jpg,500,383
cat,9,93,323,372,41.jpg,333,500
cat,2,4,233,167,42.jpg,238,173
cat,133,180,175,320,43.jpg,357,500
cat,36,21,48,61,44.jpg,107,103
cat,135,87,193,174,45.jpg,500,371
cat,91,29,268,384,46.jpg,400,434
cat,4,4,242,194,47.jpg,259,214
cat,17,6,85,66,48.jpg,140,93
cat,10,7,170,105,49.jpg,180,130
cat,36,52,85,70,5.jpg,176,144
cat,5,22,289,150,50.jpg,300,196
cat,139,2,93,86,51.jpg,257,473
cat,69,35,161,401,51.jpg,257,473
cat,61,31,234,269,52.jpg,400,300
cat,1,16,460,378,53.jpg,492,458
cat,3,6,468,461,54.jpg,500,500
cat,40,28,267,457,55.jpg,345,500
cat,29,21,471,303,56.jpg,500,332
cat,20,11,289,275,57.jpg,336,291
cat,166,31,184,284,58.jpg,500,375
cat,53,31,391,279,59.jpg,465,331
cat,65,114,115,106,6.jpg,400,304
cat,0,6,165,117,60.jpg,180,177
cat,47,31,233,193,61.jpg,329,226
cat,112,10,291,215,62.jpg,500,378
cat,20,46,374,256,63.jpg,500,375
cat,48,4,440,371,64.jpg,500,375
cat,65,135,248,240,65.jpg,500,375
cat,49,8,386,207,65.jpg,500,375
cat,34,16,458,361,66.jpg,500,382
cat,97,92,350,187,67.jpg,500,375
cat,73,13,173,157,68.jpg,250,181
cat,77,6,408,361,69.jpg,500,375
cat,126,19,348,481,7.jpg,495,500
cat,58,6,427,357,70.jpg,500,375
cat,3,13,494,404,71.jpg,500,417
cat,41,20,389,258,72.jpg,480,333
cat,39,12,319,363,73.jpg,500,375
cat,14,9,150,142,74.jpg,200,187
cat,74,49,420,315,75.jpg,495,397
cat,40,31,425,219,76.jpg,500,258
cat,59,46,249,158,77.jpg,350,233
cat,68,21,415,453,78.jpg,499,500
cat,36,10,412,314,79.jpg,500,346
cat,14,87,208,239,8.jpg,461,346
cat,213,59,178,264,8.jpg,461,346
cat,83,28,173,190,80.jpg,320,234
cat,158,43,307,324,81.jpg,500,375
cat,56,118,160,223,81.jpg,500,375
cat,48,34,370,281,82.jpg,500,333
cat,70,50,365,301,83.jpg,499,374
cat,28,53,370,204,84.jpg,426,287
cat,87,60,361,272,85.jpg,448,336
cat,83,7,410,450,86.jpg,499,494
cat,195,62,157,309,87.jpg,500,375
cat,48,20,342,199,88.jpg,400,267
cat,113,30,316,406,89.jpg,500,493
cat,0,6,301,412,9.jpg,320,426
cat,80,47,212,196,90.jpg,448,336
cat,30,23,299,352,91.jpg,500,375
cat,0,36,328,299,93.jpg,346,346
cat,28,20,320,316,94.jpg,350,345
cat,13,14,241,225,95.jpg,320,239
cat,15,72,350,230,96.jpg,500,375
cat,12,10,453,315,97.jpg,500,374
cat,53,29,388,349,98.jpg,473,378
cat,12,11,170,146,99.jpg,226,175
